Region,Lobe,Hemisphere,Region_Type,Degree,Degree_Cent,Strength,Betweenness,Closeness,Eigenvector,Complex_Close_T2,Complex_Close_T3,Complex_Btwn_T2,Degree_Cent_n,Strength_n,Betweenness_n,Closeness_n,Eigenvector_n,Complex_Close_T2_n,Complex_Close_T3_n,Composite_Hub
L_transversetemporal,Temporal,L,Cortical,8,0.09876543209876543,54.83141349209289,0.0,3.7254333753384543,0.03221850547142042,0.46551724137931033,0.42857142857142855,1.0,0.043478260869565216,0.036239985647399255,0.0,0.13642679809289637,0.07827971494577275,0.267094017094017,0.2965367965367964,0.12257936759806386
L_insula,Insular,L,Cortical,48,0.5925925925925926,338.73824230746743,0.03425925925925926,5.153077204335554,0.16855521590938968,0.5328947368421053,0.4426229508196721,0.9753086419753086,0.9130434782608695,0.8505210276643654,0.35350318471337583,0.6975700681580813,0.8172122538985909,0.5377024291497977,0.35730253353204167,0.6466935679110175
R_bankssts,Temporal,R,Cortical,6,0.07407407407407407,43.51091407706471,0.0,3.3915288942395048,0.017775510655069472,0.39901477832512317,0.36,1.0,0.0,0.003771347614686977,0.0,0.0051838027409626345,0.0,0.0,0.0,0.0012793071936642304
R_caudalanteriorcingulate,Cingulate,R,Cortical,31,0.38271604938271603,190.50552215898423,0.000925925925925926,4.539048386460122,0.11130645952521764,0.6044776119402985,0.5586206896551724,1.0,0.5434782608695652,0.4253706558780996,0.009554140127388536,0.45622265938671613,0.5069292144226261,0.8252009184845004,0.8589341692789967,0.5179557169211275
R_caudalmiddlefrontal,Frontal,R,Cortical,24,0.2962962962962963,178.72485855361774,0.004629629629629629,4.9003656250263115,0.11019879400650488,0.574468085106383,0.5294117647058824,1.0,0.391304347826087,0.39158220818117084,0.04777070063694268,0.5982403900432369,0.5009257683117173,0.7046735770140027,0.7326203208556148,0.4810167589812532
R_cuneus,Occipital,R,Cortical,21,0.25925925925925924,149.33783515386668,0.0,4.412990226092225,0.08150477474069394,0.54,0.5225806451612903,0.9876543209876543,0.32608695652173914,0.30729647213328043,0.0,0.4066748051597029,0.34540680030424353,0.5662393162393163,0.7030791788856303,0.3792547898919875
R_entorhinal,Temporal,R,Cortical,18,0.2222222222222222,110.66949664888418,0.00030864197530864197,3.8173099036176965,0.0577478803045083,0.4879518072289157,0.43315508021390375,0.9876543209876543,0.2608695652173913,0.19639073907189658,0.0031847133757961785,0.17253937356423624,0.21664659869037362,0.3571980228606735,0.31635877491492465,0.2175982553850417
R_fusiform,Temporal,R,Cortical,23,0.2839506172839506,170.68947015288177,0.0015432098765432098,4.321174572800947,0.08425068709389213,0.5328947368421053,0.4909090909090909,0.9876543209876543,0.3695652173913043,0.36853568807010545,0.01592356687898089,0.3705861569376656,0.3602893948774332,0.5377024291497977,0.5661157024793387,0.3698168793978037
R_inferiorparietal,Parietal,R,Cortical,26,0.32098765432098764,207.09894116093867,0.016975308641975308,4.888134440152404,0.10684305106173565,0.5785714285714286,0.5094339622641509,0.9753086419753086,0.43478260869565216,0.47296270067643825,0.17515923566878983,0.5934328554624742,0.48273794753853283,0.7211538461538463,0.6462264150943395,0.5037793727557247
R_inferiortemporal,Temporal,R,Cortical,30,0.37037037037037035,209.21714772161755,0.005246913580246914,4.552451927479606,0.09953997036104847,0.5547945205479452,0.48214285714285715,1.0,0.5217391304347826,0.47903798760290534,0.054140127388535034,0.4614909950075198,0.4431559160592608,0.6256585879873551,0.5282061688311688,0.44477555904450394
R_isthmuscingulate,Cingulate,R,Cortical,39,0.48148148148148145,246.17088933211596,0.0015432098765432098,4.791121464462266,0.13354446274234044,0.627906976744186,0.5664335664335665,0.9876543209876543,0.717391304347826,0.5850260378043693,0.01592356687898089,0.5553013710461122,0.6274571641265755,0.919300337904989,0.8927209154481881,0.6161600996510058
R_lateraloccipital,Occipital,R,Cortical,25,0.30864197530864196,197.4951700847338,0.0021604938271604936,4.723688100330537,0.10140499977081761,0.5328947368421053,0.5,0.9876543209876543,0.41304347826086957,0.44541785875821166,0.022292993630573247,0.52879631586932,0.45326420540081275,0.5377024291497977,0.6054292929292928,0.4294209391426968
